title,url,location,posted_date,work_type,experience,description
Quality Document Controller,N/A,"New Cairo, Cairo, Egypt",22 hours ago,Full TimeHybrid,Quality Document Controller,Quality Document Controller | Experienced | · Engineering - Construction/Civil/Architecture | · Quality | · Engineering - Telecom/Technology | · Document Control | · Quality Assurance | · Document Management Systems | · Audit Support | · Compliance | · Process Improvement | · Communication
AI Automation Engineer,N/A,"Cairo, Egypt",N/A,Full TimeRemote,AI Automation Engineer,AI Automation Engineer | Experienced | · IT/Software Development | · Media/Journalism/Publishing | · Engineering - Telecom/Technology | · AI Automation | Machine Learning | · Python Programming | · Remote Collaboration | · PyTorch | · Video Encoding & Transcoding | · TensorFlow
Data Scientist & Instructor,N/A,"Nasr City, Cairo, Egypt",N/A,Full TimeHybrid,Data Scientist & Instructor,Data Scientist & Instructor | Entry Level | · IT/Software Development | · Engineering - Telecom/Technology | · Training/Instructor | · Data Science | Machine Learning | · Python Programming | · Teaching & Instruction | · Curriculum Development | · Statistical Analysis | · Communication
AI Deployment Engineer,N/A,"New Cairo, Cairo, Egypt",N/A,Full TimeOn-site,AI Deployment Engineer,AI Deployment Engineer | Experienced | · IT/Software Development | · Analyst/Research | · Engineering - Telecom/Technology | Machine Learning | · AI Deployment | · CI/CD Automation | · Cloud Computing | · Python Programming | · Containerization (Docker/Kubernetes) | · System Monitoring
Data Scientist Team Leader,N/A,"Giza, Egypt",N/A,Full TimeOn-site,Data Scientist Team Leader,Data Scientist Team Leader | Experienced | · IT/Software Development | · Analyst/Research | · Engineering - Telecom/Technology | · Data Science | Machine Learning | · Big Data Technologies
Training Specialist,N/A,"Nasr City, Cairo, Egypt",N/A,Full TimeOn-site,Training Specialist,Training Specialist | Experienced | · Human Resources | · Training/Instructor | · Training | Machine Learning | · Instructor | · Training of Trainers | · Sales Training
Senior Data Scientist,N/A,"Sheraton, Cairo, Egypt",N/A,Full TimeOn-site,Senior Data Scientist,Senior Data Scientist | Experienced | · IT/Software Development | · Engineering - Telecom/Technology | · Computer Science | · Data Mining | · Data Science | · data scientist | · Hadoop | Machine Learning | · Python | · SQL
AI Model Engineer,N/A,"Nasr City, Cairo, Egypt",N/A,Full TimeHybrid,AI Model Engineer,AI Model Engineer | Experienced | · IT/Software Development | · Analyst/Research | · Engineering - Telecom/Technology | Machine Learning | Deep Learning | · Python Programming | · Data Analysis | · Model Deployment | · TensorFlow | · PyTorch
AI Engineer,N/A,"Cairo, Egypt",N/A,Full TimeHybrid,AI Engineer,AI Engineer | Entry Level | · IT/Software Development | · Python | Machine Learning | · Artificial Intelligence (AI) | · Computer Science | · Computer Engineering | · Mechatronics | · Docker | · AWS | · Microsoft Azure
Data Scientist (Analytics & Validation),N/A,"New Cairo, Cairo, Egypt",N/A,Full TimeOn-site,Data Scientist (Analytics & Validation),Data Scientist (Analytics & Validation) | Entry Level | · IT/Software Development | · Data Science | · Data Modeling | · AI | Machine Learning | · Information Technology (IT) | · Cloud Technology
MLOps Engineer (Cloud & Compliance),N/A,"New Cairo, Cairo, Egypt",N/A,Full TimeOn-site,MLOps Engineer (Cloud & Compliance),MLOps Engineer (Cloud & Compliance) | Experienced | · IT/Software Development | · AI | Machine Learning | · MLOps | · DevOps
AI Engineer Instructor (Part-Time),N/A,"Nasr City, Cairo, Egypt",N/A,Part TimeHybrid,AI Engineer Instructor (Part-Time),AI Engineer Instructor (Part-Time) | Experienced | · R&D/Science | · IT/Software Development | · Training/Instructor | · AI Engineer Instructor | · AI Instructor | · Artificial Intelligence Trainer | Machine Learning Instructor | Deep Learning Specialist | · AI Engineer | Machine Learning Engineer
Data Science Instructor (Part-Time),N/A,"Nasr City, Cairo, Egypt",N/A,Part TimeHybrid,Data Science Instructor (Part-Time),Data Science Instructor (Part-Time) | Experienced | · R&D/Science | · IT/Software Development | · Training/Instructor | · Data Science Instructor | Machine Learning Instructor | · Data Science Trainer | Machine Learning Trainer | · Data Analyst Instructor | AI & Machine Learning Specialist | · Data Science Educator
IT & AI Engineer,N/A,"New Cairo, Cairo, Egypt",N/A,Full TimeOn-site,IT & AI Engineer,IT & AI Engineer | Experienced | · Installation/Maintenance/Repair | · IT/Software Development | · Engineering - Telecom/Technology | · IT Infrastructure Management | · Artificial Intelligence | Machine Learning | · Data Analysis | · Python Programming | · Network Security | · Cloud Computing
AI Engineer,N/A,"Cairo, Egypt",N/A,Full TimePart TimeRemote,AI Engineer,AI Engineer | Experienced | · IT/Software Development | · Artificial Intelligence | · Problem Solving | Machine Learning (ML) | Deep Learning | · Natural Language Processing (NLP) | · Generative AI | · Data Engineering | · Feature Engineering
Mechanical Engineer,N/A,"Maadi, Cairo, Egypt",1 day ago,Full TimeOn-site,Mechanical Engineer,Mechanical Engineer | Entry Level | · Engineering - Mechanical/Electrical | · Mechanical Engineering | · Engineering | · Condition Monitoring | Condition Machines | · Thermography | · Computer Skills | · Vibration Analysis | · Ultrasound | · Lubrication Oil Analysis
AI Developer (Python),N/A,"Sheikh Zayed, Giza, Egypt",N/A,Full TimeOn-site,AI Developer (Python),AI Developer (Python) | Experienced | · IT/Software Development | · Analyst/Research | · Engineering - Telecom/Technology | · AI | · AWS | · Azure | · Computer Science | · Data Science | · Git | · Information Technology (IT)
"Senior Data Scientist – NLP, LLMs & Agentic AI",N/A,"Cairo, Egypt",N/A,Full TimeHybrid,"Senior Data Scientist – NLP, LLMs & Agentic AI","Senior Data Scientist – NLP, LLMs & Agentic AI | Experienced | · Engineering - Telecom/Technology | · Data Science | · NLP | · LLMs"
Junior Mechanical Engineer,N/A,"Ameria, Alexandria, Egypt",N/A,Full TimeOn-site,Junior Mechanical Engineer,Junior Mechanical Engineer | Entry Level | · Installation/Maintenance/Repair | · Engineering - Mechanical/Electrical | · Mechanical Design | · Engineering | · Engineering Services | · Engineering Field | · Electronics Engineering | · Computer Engineering | · Mechanical Engineering | · Electronic Engineering
AI Developer,N/A,"Maadi, Cairo, Egypt",N/A,Full TimeRemote,AI Developer,AI Developer | Entry Level | · IT/Software Development | · Analyst/Research | · Engineering - Telecom/Technology | · PyTorch | · AI | · Software Development | · Program Development | · Algorithms | · Software Engineering | · Python Programming
Software Engineer,N/A,"Cairo, Egypt",6 days ago,Full TimePart TimeFreelance / ProjectRemote,Software Engineer,Software Engineer | Experienced | · IT/Software Development | · Java | · JavaScript | · Spring Boot | · SQL | · Docker | · DevOps
Sales Engineer,N/A,"Cairo, Egypt",1 day ago,Full TimeRemote,Sales Engineer,Sales Engineer | Entry Level | · Creative/Design/Art | · Sales/Retail | · Engineering - Other | · Applied Arts | · Communication skills | · Communication | · English | · Engineering | · Production | · Sales
AI Engineer,N/A,"New Cairo, Cairo, Egypt",N/A,Full TimeOn-site,AI Engineer,AI Engineer | Experienced | · Analyst/Research | · Engineering - Telecom/Technology | · Python | · main AI/ML language
AI Engineer,N/A,"New Cairo, Cairo, Egypt",N/A,Full TimeRemote,AI Engineer,AI Engineer | Experienced | · IT/Software Development | · Analyst/Research | · Natural Language Processing (NLP) | · Python Programming | · Algorithm Development | · Data Preprocessing
Software Development Manager,N/A,"6th of October, Giza, Egypt",3 days ago,Full TimeHybrid,Software Development Manager,Software Development Manager | Manager | · Business Development | · IT/Software Development | · Engineering - Telecom/Technology | · Azure | · Computer Science | · developer | · Engineering | · ERP System | · Information Technology (IT) | · ERP
production internship,N/A,"10th of Ramadan City, Cairo, Egypt",N/A,InternshipOn-site,production internship,production internship | Entry Level | · Manufacturing/Production | · Engineering - Mechanical/Electrical | · Internship | · Engineering | · Mechanical Engineering
Senior Backend Developer,N/A,"New Cairo, Cairo, Egypt",N/A,Full TimeHybrid,Senior Backend Developer,"Senior Backend Developer | Experienced | · IT/Software Development | · Engineering - Telecom/Technology | · ●	5+ years of experience in back-end development with a focus on PHP and Laravel. | · ●	Strong understanding of OOP, MVC architecture, and software development best practices. | · ●	Experience building RESTful APIs and integrating third-party services. | · ●	Solid understanding of relational databases, preferably MySQL or PostgreSQL. | · ●	Familiarity with version control systems such as Git. | · ●	Experience with caching technologies (Redis, Memcached) and performance optimization. | · ●	Knowledge of security principles (authentication, authorization, data protection). | · ●	Proficient in writing unit tests and conducting debugging."
Data Analytics Specialist,N/A,"Katameya, Cairo, Egypt",4 days ago,Full TimeOn-site,Data Analytics Specialist,Data Analytics Specialist | Experienced | · Medical/Healthcare | · Quality | · Analyst/Research | · SQL | · python development | · SAS | · Tableau | · Power BI | · QlikView | · Microsoft Excel
Graphic Designer AI,N/A,"Sheraton, Cairo, Egypt",2 days ago,Full TimeOn-site,Graphic Designer AI,Graphic Designer AI | Experienced | · Creative/Design/Art | · Marketing/PR/Advertising | · Media/Journalism/Publishing | · Adobe Creative Suite | · Visual storytelling | · 3D rendering | · Creative problem-solving | · Time management | · Attention to detail | · AI-powered graphic design
Data Analyst & Instructor (Excel & Power BI),N/A,"Nasr City, Cairo, Egypt",N/A,Full TimeHybrid,Data Analyst & Instructor (Excel & Power BI),Data Analyst & Instructor (Excel & Power BI) | Entry Level | · IT/Software Development | · Analyst/Research | · Education/Teaching | · Data Analysis | · Database SQL Server | · MySQL | · Data Analytics | · Big Data Analytics | · Microsoft Excel | · Power BI
Pavement Assessment Engineer,N/A,"Katameya, Cairo, Egypt",N/A,Full TimeOn-site,Pavement Assessment Engineer,Pavement Assessment Engineer | Entry Level | · Engineering - Construction/Civil/Architecture | · Pavement assessment | · LiDAR data analysis | · Problem-solving | · Communication | · pavement | · Maintanance
Massage Therapist,N/A,"Madinaty, Cairo, Egypt",N/A,Full TimeOn-site,Massage Therapist,Massage Therapist | Entry Level | · Medical/Healthcare | · Sports Recovery | · Massage Therapy | · Manual Therapy | · Communication | · Wellness Optimization
Civil Engineer,N/A,"Katameya, Cairo, Egypt",N/A,Full TimeOn-site,Civil Engineer,Civil Engineer | Entry Level | · Engineering - Construction/Civil/Architecture | · Civil Engineering | · Communication
AI Designer,N/A,"Cairo, Egypt",N/A,Full TimeOn-site,AI Designer,AI Designer | Experienced | · Creative/Design/Art | · IT/Software Development | · AI-driven UX/UI design | · Cross-functional collaboration | · User research and usability testing | · Prototyping and wireframing | · Technical documentation
Senior AI Developer,N/A,"Mansoura, Dakahlia, Egypt",N/A,Full TimeOn-site,Senior AI Developer,Senior AI Developer | Experienced | · IT/Software Development | · AI | · Artificial Intelligence | · Software Development
Quality Engineer (PQC SMT),N/A,"6th of October, Giza, Egypt",N/A,Full TimeOn-site,Quality Engineer (PQC SMT),Quality Engineer (PQC SMT) | Entry Level | · Quality | · Engineering - Other | · Inspection and Testing | · Team Collaboration | · Attention to Detail | · Documentation | · Root Cause Analysis | · Data Analysis
